0:1.2012538 1:-1.2528001564615205 2:1.0929413 3:2.852562055493587 4:0.9233588713702409
0 0:1.0362415 1:-1.3776337172966615 2:1.0468735324670821 3:1.1426562 4:1.1303711
0 0:2.902121890897545 1:-3.2639523639936936 2:3.2327850659184874 3:3.3151190232208 4:1.1115039
0 0:1.2595137288708447 1:-0.8689113486266765 2:3.4291063209159947 3:2.400670170281543 4:1.0464793
0 0:1.2465485 1:-2.6181166814606565 2:1.0654709 3:3.307617887839426 4:1.0205461
0 0:1.5837267 1:-2.631263993717185 2:3.312861126362666 3:1.0006409 4:1.5177814370847753
0 0:3.4798909005555005 1:1.3368477336949112 2:2.149591568771375 3:1.1476342 4:3.496485794994968
0 0:2.8933287261308327 1:-2.8651263891996916 2:3.3592095581849177 3:3.1532875694714386 4:2.8825080306120485
0 0:2.7026628817824534 1:1.8066719015607 2:3.305146436965692 3:3.561004417811727 4:1.3048639
0 0:3.5687763860376913 1:3.3468669454180073 2:1.0106172 3:2.441123186907246 4:2.3165195507228376
0 0:1.1858163 1:-1.7079918098970401 2:3.1676882101960944 3:1.0783663 4:3.2618883763890008
0 0:3.489103558248981 1:-0.7624756294400518 2:-0.24301164803172418 3:1.0940805 4:3.608695940685752
0 0:1.1888962 1:-2.6742393757312803 2:1.1533706 3:3.3795108379941876 4:2.778588084916007
0 0:3.554931096117428 1:-0.13755471421405152 2:1.2611394 3:1.7142306037639785 4:1.0712378
0 0:1.0080958 1:-0.8886830756299595 2:1.7360753953445711 3:2.9419964906778944 4:2.56228722389259
0 0:1.1114731 1:1.5985509870635066 2:0.0 3:1.0903675 4:3.609306031950991
0 0:2.3072746300023668 1:-3.182413982770858 2:2.3525646358844243 3:3.6434291309721774 4:1.3627583
0 0:3.2702095150447463 1:3.3797039379128586 2:3.328706981471964 3:1.1608136 4:1.0473026
0 0:1.5266807 1:-1.9917939866703465 2:1.6215386 3:0.887857901536335 4:2.1775394067051135
0 0:1.0804101 1:1.0396382 2:1.454320835540825 3:3.116693313880071 4:2.954073457700335
0 0:1.4410887 1:1.1329142430186387 2:3.150653479096763 3:1.1855664 4:2.733760503491502
0 0:3.334094870191473 1:1.1607519378476905 2:0.7356899785235533 3:3.4982720336215762 4:1.508802088532886
0 0:1.1068184 1:1.314794 2:2.301683892558996 3:1.2766884 4:1.0191616
0 0:1.8927886160048026 1:2.5417533707006115 2:1.3017269 3:2.6532055008028617 4:3.4113890630894574
0 0:2.6537294347029783 1:0.7696929649071973 2:1.1619085 3:2.825020209311125 4:-0.9111657036917551
0 0:1.4897691 1:1.977150471938629 2:1.1664451 3:1.0517127 4:1.7639626435343487
0 0:3.5309493296510146 1:-1.7396854698766746 2:2.356122765839434 3:3.075976527695048 4:2.981894266863037
0 0:1.2971575 1:-3.1345254972440304 2:2.1711880417291765 3:1.1849229 4:1.1256333
0 0:1.6425003 1:3.1740589624185813 2:3.361216009445011 3:1.2364929 4:1.0165096
0 0:1.4347223 1:1.027547 2:-3.3780160334608755 3:1.4447539 4:0.9118125184999901
0 0:0.9293784307244294 1:1.0589883 2:1.3467866950629388 3:2.8878713449848865 4:3.5247103886323004
0 0:2.836005236576281 1:-2.6551656360413114 2:2.828369089439997 3:1.0624723 4:2.643731280826709
0 0:1.0285481 1:1.3530241 2:1.1191815 3:3.175255711028656 4:1.1361232
0 0:0.9004367296924219 1:-1.7343088382680656 2:3.32856111727354 3:1.2419834 4:1.0470514
0 0:1.5365448 1:0.2549228446475866 2:1.5476941926896985 3:2.5063252561498137 4:1.4398463246243816
0 0:1.2977566 1:-2.876113770893271 2:1.6295765 3:1.0435395 4:2.8106005492193606
0 0:3.382844782217748 1:-1.997128201779388 2:3.288963567500337 3:1.3268574 4:3.5921571478610637
0 0:1.5306829 1:1.0789174819167688 2:1.3424972 3:1.3704434 4:-2.9879044236572874
0 0:1.0533826 1:-2.411257924538178 2:1.20706 3:3.0253896832551717 4:1.5219397255601126
0 0:1.8933594177457242 1:3.264438406311369 2:2.312999128410547 3:1.3156438 4:2.7608028797566853
0 0:2.5694987277899295 1:0.41315822673054403 2:1.1696001 3:1.1402749 4:2.281979349991251
0 0:1.1928780033224777 1:1.5982540347785927 2:-2.3954798328219433 3:1.247562 4:1.4582386
0 0:2.3685333259391292 1:1.338046063480426 2:1.0008679274960581 3:1.0864827 4:3.5239234209317463
0 0:1.0849404 1:-2.3333122171498784 2:1.0122439 3:2.0096539817200583 4:2.052383473115674
0 0:0.37574860314576414 1:-0.6434474827768405 2:1.3067098 3:2.3717319641042267 4:1.3564764
0 0:1.6720372 1:-1.956059870000382 2:1.272326 3:1.2852864 4:1.0248786
0 0:1.5248144 1:-0.2259240663014579 2:1.2578218 3:3.279538569793413 4:1.5177791562322398
0 0:2.767920132941197 1:1.0503527 2:1.2133249633904515 3:1.1598053 4:2.292972139512615
0 0:1.8737910641471005 1:-0.6891176184854604 2:1.0628318 3:1.0063252 4:1.1622099
0 0:1.4876479 1:1.1717251 2:1.2756054 3:1.0815379 4:1.1454061
0 0:3.0874928096611995 1:0.6318924631055337 2:1.475402608372484 3:3.0564500755647743 4:2.640190477993378
